0.14,2.2,0.2,0.1,0.120,0.004,0.004
0.18,5.0,0.4,0.4,0.102,0.004,0.004
0.25,5.6,0.5,0.4,0.104,0.005,0.005
0.17,4.8,0.3,0.2,0.101,0.003,0.004
0.32,4.7,0.5,0.5,0.074,0.005,0.005
0.23,2.5,0.6,0.4,0.088,0.008,0.008
0.20,5.5,0.2,0.2,0.147,0.003,0.003
0.15,5.0,0.8,0.6,0.096,0.009,0.010
0.18,3.3,0.3,0.3,0.090,0.004,0.004
0.16,1.8,0.3,0.2,0.101,0.007,0.007
0.22,2.6,0.4,0.3,0.119,0.008,0.008
0.23,2.0,0.4,0.3,0.110,0.011,0.011
0.38,2.8,0.4,0.3,0.100,0.005,0.005
0.17,2.5,0.3,0.3,0.091,0.007,0.007
0.29,2.1,0.2,0.2,0.111,0.006,0.006
0.18,2.0,0.1,0.1,0.131,0.004,0.004
0.26,4.3,0.9,0.7,0.084,0.009,0.008
0.28,3.5,0.4,0.4,0.126,0.007,0.006
0.22,2.6,0.3,0.3,0.106,0.006,0.005
0.54,3.3,0.4,0.4,0.131,0.007,0.006
0.89,5.2,2.0,1.4,0.075,0.015,0.014
0.58,6.0,1.3,1.1,0.082,0.009,0.008
0.69,2.3,0.4,0.4,0.136,0.012,0.011
0.54,2.3,0.4,0.3,0.134,0.008,0.008
0.49,2.2,0.7,0.5,0.097,0.019,0.017
0.55,1.9,0.2,0.2,0.116,0.006,0.006
0.57,2.8,0.6,0.5,0.116,0.011,0.011
0.48,3.9,0.7,0.6,0.102,0.009,0.008
0.41,2.0,0.3,0.3,0.138,0.009,0.009
0.55,3.8,0.5,0.5,0.128,0.009,0.009
0.83,0.5,0.3,0.3,0.154,0.013,0.013
0.83,4.5,1.4,1.0,0.164,0.019,0.019
0.78,1.0,0.3,0.2,0.115,0.014,0.013
0.33,3.1,0.5,0.4,0.081,0.006,0.006
0.58,1.2,0.4,0.3,0.076,0.012,0.011
0.45,8.1,0.8,0.7,0.109,0.006,0.005
0.81,1.4,0.4,0.3,0.088,0.013,0.011
0.24,2.1,0.3,0.2,0.124,0.008,0.008
0.29,3.6,0.2,0.2,0.122,0.004,0.004
